Process,Fe,Cr,Ni,Mo,Mn,Si,Cu,S,P,C,N,O,Nb,Ti,W,Co,V,Al,Zr,Ta,Ce,Re,B,MfgRoute,T[oC],t[hr],Coolingmedium,Solution,EtoJ
0.25,65.01,25.2,6.3,3.8,0.4,0.3,0.15,0.001,0.024,0.016,0.35,0.017,0,0,0,0,0,0,0,0,0,0,0,0,1100,0.25,0.15,0.35,0.1
0.25,63.4,24.88,6.61,3.47,0.69,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0.583,0.15,0.35,0.1889
0.25,63.4,24.88,6.61,3.47,0.69,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1050,0.583,0.15,0.35,0.19357
0.25,63.4,24.88,6.61,3.47,0.69,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1100,0.583,0.15,0.35,0.16746
0.25,63.4,24.88,6.61,3.47,0.69,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1150,0.583,0.15,0.35,0.16753
0.25,63.4,24.88,6.61,3.47,0.69,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1200,0.583,0.15,0.35,0.16042
0.25,63.4,24.88,6.61,3.47,0.69,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1050,0.333,0.15,0.35,0.0641
0.25,63.4,24.88,6.61,3.47,0.69,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1050,0.5,0.15,0.35,0.0546
0.25,63.4,24.88,6.61,3.47,0.69,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1050,0.667,0.15,0.35,0.05913
0.25,63.4,24.88,6.61,3.47,0.69,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1050,1,0.15,0.35,0.06533
0.5,64.106,24.68,6.53,3.75,0.38,0.21,0,0.001,0.015,0.028,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,700,1,0.15,0.35,0.0934
0.5,64.106,24.68,6.53,3.75,0.38,0.21,0,0.001,0.015,0.028,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,700,48,0.15,0.35,0.062
0.5,64.106,24.68,6.53,3.75,0.38,0.21,0,0.001,0.015,0.028,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,700,168,0.15,0.35,0.0666
0.5,64.106,24.68,6.53,3.75,0.38,0.21,0,0.001,0.015,0.028,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,800,1,0.15,0.35,0.1113
0.5,64.106,24.68,6.53,3.75,0.38,0.21,0,0.001,0.015,0.028,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,800,48,0.15,0.35,0.11409
0.5,64.106,24.68,6.53,3.75,0.38,0.21,0,0.001,0.015,0.028,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,800,168,0.15,0.35,0.0961
0.5,64.106,24.68,6.53,3.75,0.38,0.21,0,0.001,0.015,0.028,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,900,1,0.15,0.35,0.05961
0.5,64.106,24.68,6.53,3.75,0.38,0.21,0,0.001,0.015,0.028,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,900,48,0.15,0.35,0.06194
0.5,64.106,24.68,6.53,3.75,0.38,0.21,0,0.001,0.015,0.028,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,900,168,0.15,0.35,0.0486
0.75,65.01,25.2,6.3,3.8,0.4,0.3,0.15,0.001,0.024,0.016,0.35,0.017,0,0,0,0,0,0,0,0,0,0,0,0,300,5,2.15,0.35,0.086
1,65.01,25.2,6.3,3.8,0.4,0.3,0.15,0.001,0.024,0.016,0.35,0.017,0,0,0,0,0,0,0,0,0,0,0,0,25,0.0166,2.15,0.35,0.093
0.75,65.01,25.2,6.3,3.8,0.4,0.3,0.15,0.001,0.024,0.016,0.35,0.017,0,0,0,0,0,0,0,0,0,0,0,0,400,1,2.15,0.35,0.14
0.75,65.01,25.2,6.3,3.8,0.4,0.3,0.15,0.001,0.024,0.016,0.35,0.017,0,0,0,0,0,0,0,0,0,0,0,0,550,5,2.15,0.35,0.11
0.75,12.7,14.1,64.39,0,5.68,0.45,0.04,0.006,0.03,0.042,0,0,1.7,0.86,0,0,0,0,0,0,0,0,0,1,620,24,1.15,24.35,0.046
0.75,12.7,14.1,64.39,0,5.68,0.45,0.04,0.006,0.03,0.042,0,0,1.7,0.86,0,0,0,0,0,0,0,0,0,1,620,24,1.15,25.35,0.051
0.5,64.84,18.4,0,0,15.8,0.24,0,0.005,0.017,0.044,0.66,0,0,0,0,0,0,0,0,0,0,0,0,1,900,0.0166,0.15,0.35,0.01857
0.5,64.84,18.4,0,0,15.8,0.24,0,0.005,0.017,0.044,0.66,0,0,0,0,0,0,0,0,0,0,0,0,1,900,0.167,0.15,0.35,0.01431
0.5,64.84,18.4,0,0,15.8,0.24,0,0.005,0.017,0.044,0.66,0,0,0,0,0,0,0,0,0,0,0,0,1,900,0.333,0.15,0.35,0.01525
0.5,64.84,18.4,0,0,15.8,0.24,0,0.005,0.017,0.044,0.66,0,0,0,0,0,0,0,0,0,0,0,0,1,900,1,0.15,0.35,0.01115
0.5,59.73,25.3,7.1,2.1,0.86,0.69,0,0,0,0.03,0.25,0,0,0,3.94,0,0,0,0,0,0,0,0,1,600,0.0166,0.15,3.35,0.02727
0.5,59.73,25.3,7.1,2.1,0.86,0.69,0,0,0,0.03,0.25,0,0,0,3.94,0,0,0,0,0,0,0,0,1,600,0.033,0.15,3.35,0.0263
0.5,59.73,25.3,7.1,2.1,0.86,0.69,0,0,0,0.03,0.25,0,0,0,3.94,0,0,0,0,0,0,0,0,1,600,0.166,0.15,3.35,0.10909
0.5,59.73,25.3,7.1,2.1,0.86,0.69,0,0,0,0.03,0.25,0,0,0,3.94,0,0,0,0,0,0,0,0,1,600,0.5,0.15,3.35,0.0288
0.5,59.73,25.3,7.1,2.1,0.86,0.69,0,0,0,0.03,0.25,0,0,0,3.94,0,0,0,0,0,0,0,0,1,600,1,0.15,3.35,0.1076
0.5,59.73,25.3,7.1,2.1,0.86,0.69,0,0,0,0.03,0.25,0,0,0,3.94,0,0,0,0,0,0,0,0,1,600,2,0.15,3.35,0.1142
