Fe,Cr,Ni,Mo,Mn,Si,Cu,S,P,C,N,O,Nb,Ti,W,Co,V,Al,Zr,Ta,Ce,Re,B,MfgRoute,T[oC],t[hr],EtoJ,Rrp,Process_Original,Coolingmedium_Original,Solution_Original,Process_Clustered,Coolingmedium_Clustered,Solution_Clustered
65.01,25.2,6.3,3.8,0.4,0.3,0.15,0.001,0.024,0.016,0.35,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1100,0.25,0.1,0.1,Solution annealing,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1000,0.583,0.1889,0.014140380000000008,Solution annealing,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1050,0.583,0.19357,0.009630094000000006,Solution annealing,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1100,0.583,0.16746,0.034847132,Solution annealing,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1150,0.583,0.16753,0.034779526000000005,Solution annealing,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1200,0.583,0.16042,0.04164636399999999,Solution annealing,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1050,0.333,0.0641,0.0641,Solution annealing,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1050,0.5,0.0546,0.0546,Solution annealing,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1050,0.667,0.05913,0.05913,Solution annealing,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
63.4,24.88,6.61,3.47,0.69,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1050,1.0,0.06533,0.06533,Solution annealing,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.106,24.68,6.53,3.75,0.38,0.21,0.0,0.001,0.015,0.028,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,700,1.0,0.0934,0.0934,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.106,24.68,6.53,3.75,0.38,0.21,0.0,0.001,0.015,0.028,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,700,48.0,0.062,0.062,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.106,24.68,6.53,3.75,0.38,0.21,0.0,0.001,0.015,0.028,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,700,168.0,0.0666,0.0666,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.106,24.68,6.53,3.75,0.38,0.21,0.0,0.001,0.015,0.028,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,800,1.0,0.1113,0.08908646,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.106,24.68,6.53,3.75,0.38,0.21,0.0,0.001,0.015,0.028,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,800,48.0,0.11409,0.086391878,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.106,24.68,6.53,3.75,0.38,0.21,0.0,0.001,0.015,0.028,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,800,168.0,0.0961,0.0961,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.106,24.68,6.53,3.75,0.38,0.21,0.0,0.001,0.015,0.028,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,1.0,0.05961,0.05961,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.106,24.68,6.53,3.75,0.38,0.21,0.0,0.001,0.015,0.028,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,48.0,0.06194,0.06194,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.106,24.68,6.53,3.75,0.38,0.21,0.0,0.001,0.015,0.028,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,168.0,0.0486,0.0486,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
